Ranking,Location,2020,2021
1,"New York city, New York","8,772,978","8,467,513"
2,"Los Angeles city, California","3,889,834","3,849,297"
3,"Chicago city, Illinois","2,741,730","2,696,555"
4,"Houston city, Texas","2,300,027","2,288,250"
5,"Phoenix city, Arizona","1,611,345","1,624,569"
6,"Philadelphia city, Pennsylvania","1,601,005","1,576,251"
7,"San Antonio city, Texas","1,438,227","1,451,853"
8,"San Diego city, California","1,385,394","1,381,611"
9,"Dallas city, Texas","1,303,234","1,288,457"
10,"San Jose city, California","1,010,908","983,489"
11,"Austin city, Texas","963,121","964,177"
12,"Jacksonville city, Florida","950,463","954,614"
13,"Fort Worth city, Texas","922,592","935,508"
14,"Columbus city, Ohio","905,860","906,528"
15,"Indianapolis city (balance), Indiana","887,382","882,039"
16,"Charlotte city, North Carolina","876,747","879,709"
17,"San Francisco city, California","870,014","815,201"
18,"Seattle city, Washington","738,172","733,919"
19,"Denver city, Colorado","717,630","711,463"
20,"Oklahoma City city, Oklahoma","682,760","687,725"
21,"Nashville-Davidson metropolitan government (balance), Tennessee","689,248","678,851"
22,"El Paso city, Texas","678,598","678,415"
23,"Washington city, District of Columbia","690,093","670,050"
24,"Boston city, Massachusetts","674,272","654,776"
25,"Las Vegas city, Nevada","643,292","646,790"
26,"Portland city, Oregon","652,388","641,162"
27,"Detroit city, Michigan","638,176","632,464"
28,"Louisville/Jefferson County metro government (balance), Kentucky","632,037","628,594"
29,"Memphis city, Tennessee","631,326","628,127"
30,"Baltimore city, Maryland","583,132","576,498"
31,"Milwaukee city, Wisconsin","576,301","569,330"
32,"Albuquerque city, New Mexico","564,648","562,599"
33,"Fresno city, California","542,159","544,510"
34,"Tucson city, Arizona","541,859","543,242"
35,"Sacramento city, California","523,416","525,041"
36,"Mesa city, Arizona","505,860","509,475"
37,"Kansas City city, Missouri","507,932","508,394"
38,"Atlanta city, Georgia","499,586","496,461"
39,"Omaha city, Nebraska","491,168","487,300"
40,"Colorado Springs city, Colorado","480,213","483,956"
41,"Raleigh city, North Carolina","467,425","469,124"
42,"Virginia Beach city, Virginia","459,373","457,672"
43,"Long Beach city, California","464,759","456,062"
44,"Miami city, Florida","441,889","439,890"
45,"Oakland city, California","439,341","433,823"
46,"Minneapolis city, Minnesota","429,014","425,336"
47,"Tulsa city, Oklahoma","412,629","411,401"
48,"Bakersfield city, California","403,401","407,615"
49,"Wichita city, Kansas","397,117","395,699"
50,"Arlington city, Texas","393,985","392,786"
51,"Aurora city, Colorado","386,580","389,347"
52,"Tampa city, Florida","383,980","387,050"
53,"New Orleans city, Louisiana","383,282","376,971"
54,"Cleveland city, Ohio","372,032","367,991"
55,"Anaheim city, California","347,089","345,940"
56,"Urban Honolulu CDP, Hawaii","349,800","345,510"
57,"Henderson city, Nevada","319,055","322,178"
58,"Stockton city, California","320,745","322,120"
59,"Lexington-Fayette urban county, Kentucky","322,403","321,793"
60,"Corpus Christi city, Texas","317,852","317,773"
61,"Riverside city, California","314,655","317,261"
62,"Santa Ana city, California","309,888","309,441"
63,"Orlando city, Florida","307,603","309,154"
64,"Irvine city, California","306,389","309,031"
65,"Cincinnati city, Ohio","310,113","308,935"
66,"Newark city, New Jersey","310,350","307,220"
67,"St. Paul city, Minnesota","310,942","307,193"
68,"Pittsburgh city, Pennsylvania","302,777","300,431"
69,"Greensboro city, North Carolina","297,808","298,263"
70,"St. Louis city, Missouri","300,528","293,310"
71,"Lincoln city, Nebraska","291,383","292,657"
72,"Plano city, Texas","286,668","288,253"
73,"Anchorage municipality, Alaska","290,637","288,121"
74,"Durham city, North Carolina","284,400","285,527"
75,"Jersey City city, New Jersey","291,927","283,927"
76,"Chandler city, Arizona","277,556","279,458"
77,"Chula Vista city, California","276,466","277,220"
78,"Buffalo city, New York","277,908","276,807"
79,"North Las Vegas city, Nevada","264,216","274,133"
80,"Gilbert town, Arizona","269,206","273,136"
81,"Madison city, Wisconsin","268,846","269,196"
82,"Reno city, Nevada","264,116","268,851"
83,"Toledo city, Ohio","270,041","268,508"
84,"Fort Wayne city, Indiana","264,169","265,974"
85,"Lubbock city, Texas","257,882","260,993"
86,"St. Petersburg city, Florida","258,658","258,201"
87,"Laredo city, Texas","255,336","256,153"
88,"Irving city, Texas","256,873","254,198"
89,"Chesapeake city, Virginia","249,679","251,269"
90,"Winston-Salem city, North Carolina","249,349","250,320"
91,"Glendale city, Arizona","248,797","249,630"
92,"Scottsdale city, Arizona","241,933","242,753"
93,"Garland city, Texas","245,478","242,035"
94,"Boise City city, Idaho","235,829","237,446"
95,"Norfolk city, Virginia","237,591","235,089"
96,"Spokane city, Washington","228,850","229,071"
97,"Fremont city, California","231,673","227,514"
98,"Richmond city, Virginia","226,670","226,604"
99,"Santa Clarita city, California","228,487","224,593"
100,"San Bernardino city, California","221,784","222,203"
101,"Baton Rouge city, Louisiana","224,480","222,185"
102,"Hialeah city, Florida","222,153","220,490"
103,"Tacoma city, Washington","219,383","219,205"
104,"Modesto city, California","218,459","218,771"
105,"Port St. Lucie city, Florida","206,752","217,523"
106,"Huntsville city, Alabama","215,043","216,963"
107,"Des Moines city, Iowa","213,699","212,031"
108,"Moreno Valley city, California","209,213","211,600"
109,"Fontana city, California","208,810","210,761"
110,"Frisco city, Texas","202,786","210,719"
111,"Rochester city, New York","210,943","210,606"
112,"Yonkers city, New York","210,970","209,530"
113,"Fayetteville city, North Carolina","208,576","208,778"
114,"Worcester city, Massachusetts","206,242","205,918"
115,"Columbus city, Georgia","206,960","205,617"
116,"Cape Coral city, Florida","196,290","204,510"
117,"McKinney city, Texas","197,122","202,690"
118,"Little Rock city, Arkansas","202,484","201,998"
119,"Oxnard city, California","202,242","201,879"
120,"Amarillo city, Texas","200,897","201,234"
121,"Augusta-Richmond County consolidated government (balance), Georgia","201,850","201,196"
122,"Salt Lake City city, Utah","199,587","200,478"
123,"Montgomery city, Alabama","200,006","198,665"
124,"Birmingham city, Alabama","200,133","197,575"
125,"Grand Rapids city, Michigan","198,173","197,416"
126,"Grand Prairie city, Texas","196,331","197,347"
127,"Overland Park city, Kansas","197,587","197,106"
128,"Tallahassee city, Florida","196,342","197,102"
129,"Huntington Beach city, California","198,707","196,652"
130,"Sioux Falls city, South Dakota","193,233","196,528"
131,"Peoria city, Arizona","191,985","194,917"
132,"Knoxville city, Tennessee","190,594","192,648"
133,"Glendale city, California","196,208","192,366"
134,"Vancouver city, Washington","191,071","192,169"
135,"Providence city, Rhode Island","190,101","189,692"
136,"Akron city, Ohio","190,164","189,347"
137,"Brownsville city, Texas","186,762","187,831"
138,"Mobile city, Alabama","186,411","184,952"
139,"Newport News city, Virginia","185,916","184,587"
140,"Tempe city, Arizona","180,823","184,118"
141,"Shreveport city, Louisiana","187,338","184,021"
142,"Chattanooga city, Tennessee","181,624","182,113"
143,"Fort Lauderdale city, Florida","182,789","181,668"
144,"Aurora city, Illinois","180,355","179,266"
145,"Elk Grove city, California","177,632","178,997"
146,"Ontario city, California","175,945","177,963"
147,"Salem city, Oregon","175,806","177,723"
148,"Cary town, North Carolina","175,389","176,987"
149,"Santa Rosa city, California","177,882","176,938"
150,"Rancho Cucamonga city, California","174,572","175,142"
151,"Eugene city, Oregon","174,802","175,096"
152,"Oceanside city, California","174,128","172,982"
153,"Clarksville city, Tennessee","167,258","170,957"
154,"Garden Grove city, California","171,829","170,488"
155,"Lancaster city, California","172,862","170,150"
156,"Springfield city, Missouri","169,626","169,724"
157,"Pembroke Pines city, Florida","170,981","169,391"
158,"Fort Collins city, Colorado","169,032","168,538"
159,"Palmdale city, California","169,279","165,761"
160,"Salinas city, California","163,397","162,791"
161,"Hayward city, California","163,269","159,827"
162,"Corona city, California","157,570","159,743"
163,"Paterson city, New Jersey","159,419","157,794"
164,"Murfreesboro city, Tennessee","153,342","157,519"
165,"Macon-Bibb County, Georgia","157,104","156,762"
166,"Lakewood city, Colorado","156,143","156,605"
167,"Killeen city, Texas","153,044","156,261"
168,"Springfield city, Massachusetts","155,556","154,789"
169,"Alexandria city, Virginia","159,097","154,706"
170,"Kansas City city, Kansas","156,241","154,545"
171,"Sunnyvale city, California","155,860","152,258"
172,"Hollywood city, Florida","152,705","152,131"
173,"Roseville city, California","148,435","151,901"
174,"Charleston city, South Carolina","150,903","151,612"
175,"Escondido city, California","151,260","150,665"
176,"Joliet city, Illinois","150,199","150,372"
177,"Jackson city, Mississippi","152,846","149,761"
178,"Bellevue city, Washington","151,839","149,440"
179,"Surprise city, Arizona","144,412","149,191"
180,"Naperville city, Illinois","149,279","149,104"
181,"Pasadena city, Texas","151,347","148,626"
182,"Pomona city, California","151,128","148,338"
183,"Bridgeport city, Connecticut","148,271","148,333"
184,"Denton city, Texas","142,302","148,146"
185,"Rockford city, Illinois","148,719","147,711"
186,"Mesquite city, Texas","149,680","147,691"
187,"Savannah city, Georgia","147,701","147,088"
188,"Syracuse city, New York","147,033","146,103"
189,"McAllen city, Texas","142,347","143,920"
190,"Torrance city, California","146,769","143,600"
191,"Olathe city, Kansas","141,400","143,014"
192,"Visalia city, California","141,828","142,978"
193,"Thornton city, Colorado","142,166","142,610"
194,"Fullerton city, California","143,173","141,874"
195,"Gainesville city, Florida","139,929","140,398"
196,"Waco city, Texas","138,289","139,594"
197,"West Valley City city, Utah","140,209","139,110"
198,"Warren city, Michigan","139,129","138,130"
199,"Hampton city, Virginia","137,131","137,746"
200,"Dayton city, Ohio","138,060","137,571"
201,"Columbia city, South Carolina","137,314","137,541"
202,"Orange city, California","138,680","137,264"
203,"Cedar Rapids city, Iowa","137,581","136,467"
204,"Stamford city, Connecticut","135,685","136,309"
205,"Victorville city, California","134,742","135,950"
206,"Pasadena city, California","138,196","135,732"
207,"Elizabeth city, New Jersey","136,848","135,407"
208,"New Haven city, Connecticut","133,966","135,081"
209,"Miramar city, Florida","134,373","135,077"
210,"Kent city, Washington","136,628","134,835"
211,"Sterling Heights city, Michigan","134,151","133,269"
212,"Carrollton city, Texas","133,409","133,251"
213,"Coral Springs city, Florida","134,027","132,822"
214,"Midland city, Texas","132,720","131,325"
215,"Norman city, Oklahoma","127,321","128,097"
216,"Athens-Clarke County unified government (balance), Georgia","127,141","127,358"
217,"Santa Clara city, California","127,426","127,151"
218,"Columbia city, Missouri","125,852","126,853"
219,"Fargo city, North Dakota","125,853","126,748"
220,"Pearland city, Texas","126,086","125,990"
221,"Simi Valley city, California","126,366","125,975"
222,"Meridian city, Idaho","119,729","125,963"
222,"Topeka city, Kansas","126,269","125,963"
224,"Allentown city, Pennsylvania","125,971","125,944"
225,"Thousand Oaks city, California","126,652","125,754"
226,"Abilene city, Texas","124,954","125,070"
227,"Vallejo city, California","125,839","124,886"
228,"Concord city, California","125,176","124,074"
229,"Round Rock city, Texas","120,498","123,876"
230,"Arvada city, Colorado","124,478","123,436"
231,"Clovis city, California","120,674","122,989"
232,"Palm Bay city, Florida","120,181","122,942"
233,"Independence city, Missouri","122,927","122,088"
234,"Lafayette city, Louisiana","121,996","121,771"
235,"Ann Arbor city, Michigan","122,531","121,536"
236,"Rochester city, Minnesota","121,396","121,465"
237,"Hartford city, Connecticut","120,957","120,576"
238,"College Station city, Texas","118,441","120,019"
239,"Fairfield city, California","119,827","119,705"
240,"Wilmington city, North Carolina","116,146","117,643"
241,"North Charleston city, South Carolina","115,771","117,472"
242,"Billings city, Montana","117,026","117,445"
243,"West Palm Beach city, Florida","117,179","117,286"
244,"Berkeley city, California","119,463","117,145"
245,"Cambridge city, Massachusetts","117,699","117,090"
246,"Clearwater city, Florida","117,046","116,674"
247,"West Jordan city, Utah","117,186","116,541"
248,"Evansville city, Indiana","117,258","116,486"
249,"Richardson city, Texas","117,792","116,382"
250,"Broken Arrow city, Oklahoma","114,024","116,330"
251,"Richmond city, California","116,238","115,639"
252,"League City city, Texas","114,686","115,595"
253,"Manchester city, New Hampshire","115,354","115,462"
254,"Lakeland city, Florida","112,558","115,425"
255,"Carlsbad city, California","115,073","115,302"
256,"Antioch city, California","115,252","114,794"
257,"Westminster city, Colorado","116,304","114,561"
258,"High Point city, North Carolina","113,892","114,086"
259,"Provo city, Utah","114,048","114,084"
260,"Lowell city, Massachusetts","115,264","113,994"
261,"Elgin city, Illinois","114,621","113,911"
262,"Waterbury city, Connecticut","114,159","113,811"
263,"Springfield city, Illinois","114,245","113,394"
264,"Gresham city, Oregon","114,637","113,103"
265,"Murrieta city, California","111,351","112,991"
266,"Lewisville city, Texas","112,336","112,944"
267,"Las Cruces city, New Mexico","111,738","112,914"
268,"Lansing city, Michigan","112,796","112,684"
269,"Beaumont city, Texas","114,239","112,556"
270,"Odessa city, Texas","114,852","112,483"
271,"Pueblo city, Colorado","112,119","112,368"
272,"Peoria city, Illinois","112,792","111,666"
273,"Downey city, California","114,118","111,645"
274,"Pompano Beach city, Florida","111,966","111,348"
275,"Miami Gardens city, Florida","111,085","110,867"
276,"Temecula city, California","110,086","110,846"
277,"Everett city, Washington","110,930","110,812"
278,"Costa Mesa city, California","111,723","110,750"
279,"San Buenaventura (Ventura) city, California","110,413","109,925"
280,"Sparks city, Nevada","109,121","109,796"
281,"Santa Maria city, California","109,904","109,711"
282,"Sugar Land city, Texas","110,775","109,373"
283,"Greeley city, Colorado","109,388","109,323"
284,"South Fulton city, Georgia","107,623","108,575"
285,"Dearborn city, Michigan","109,657","108,420"
286,"Concord city, North Carolina","105,769","107,697"
287,"Tyler city, Texas","105,976","107,192"
288,"Sandy Springs city, Georgia","108,172","107,180"
289,"West Covina city, California","109,345","107,017"
290,"Green Bay city, Wisconsin","107,114","107,015"
291,"Centennial city, Colorado","108,095","106,966"
292,"Jurupa Valley city, California","105,306","106,941"
293,"El Monte city, California","109,166","106,907"
294,"Allen city, Texas","105,628","106,874"
295,"Hillsboro city, Oregon","106,922","106,633"
296,"Menifee city, California","103,227","106,401"
297,"Nampa city, Idaho","101,124","106,186"
298,"Spokane Valley city, Washington","103,778","105,905"
299,"Rio Rancho city, New Mexico","104,257","105,834"
300,"Brockton city, Massachusetts","105,579","105,446"
301,"El Cajon city, California","106,176","105,432"
302,"Burbank city, California","107,320","105,401"
303,"Inglewood city, California","107,534","105,181"
304,"Renton city, Washington","106,763","105,179"
305,"Davie town, Florida","105,553","104,882"
306,"Rialto city, California","104,199","104,394"
307,"Boulder city, Colorado","105,262","104,175"
308,"South Bend city, Indiana","103,527","103,353"
309,"Vacaville city, California","102,672","103,078"
310,"Wichita Falls city, Texas","102,640","102,988"
311,"Lee's Summit city, Missouri","101,600","102,781"
312,"Edinburg city, Texas","100,039","102,483"
313,"Chico city, California","102,177","102,338"
314,"San Mateo city, California","105,308","102,200"
315,"Bend city, Oregon","99,533","102,059"
316,"Goodyear city, Arizona","96,534","101,733"
317,"Buckeye city, Arizona","93,314","101,315"
318,"Daly City city, California","104,571","101,243"
319,"Fishers city, Indiana","99,451","101,171"
320,"Quincy city, Massachusetts","101,606","101,119"
321,"Davenport city, Iowa","101,584","101,009"
322,"Hesperia city, California","100,200","100,971"
323,"New Bedford city, Massachusetts","100,970","100,941"
324,"Lynn city, Massachusetts","101,118","100,843"
325,"Carmel city, Indiana","99,892","100,777"
326,"Longmont city, Colorado","100,359","100,758"
327,"Tuscaloosa city, Alabama","99,960","100,618"
328,"Norwalk city, California","102,532","100,373"
329,"St. George city, Utah","95,927","99,958"
330,"San Angelo city, Texas","100,093","99,667"
331,"Kenosha city, Wisconsin","99,733","99,286"
332,"Federal Way city, Washington","101,019","99,037"
333,"Roanoke city, Virginia","99,875","98,865"
334,"New Braunfels city, Texas","91,319","98,857"
335,"Vista city, California","98,508","98,655"
336,"Albany city, New York","99,133","98,617"
337,"Beaverton city, Oregon","97,447","98,216"
338,"Orem city, Utah","98,294","97,861"
339,"Portsmouth city, Virginia","98,015","97,840"
340,"Yuma city, Arizona","96,034","97,093"
341,"Yakima city, Washington","96,890","96,578"
342,"Suffolk city, Virginia","94,685","96,194"
343,"Sunrise city, Florida","97,035","96,021"
344,"Boca Raton city, Florida","96,241","95,787"
345,"Deltona city, Florida","94,438","95,782"
346,"Tracy city, California","93,590","95,387"
347,"Edmond city, Oklahoma","94,740","95,341"
348,"Lawrence city, Kansas","94,933","95,256"
349,"Fayetteville city, Arkansas","94,020","95,230"
350,"Sandy city, Utah","97,039","95,050"
351,"San Marcos city, California","94,973","94,926"
352,"Reading city, Pennsylvania","94,981","94,844"
353,"Livonia city, Michigan","95,336","94,422"
354,"Conroe city, Texas","90,358","94,400"
355,"Asheville city, North Carolina","94,406","94,067"
356,"Erie city, Pennsylvania","94,639","93,999"
357,"Fall River city, Massachusetts","93,885","93,884"
358,"Palm Coast city, Florida","89,748","93,833"
359,"O'Fallon city, Missouri","91,643","93,644"
360,"Compton city, California","95,611","93,597"
361,"Carson city, California","95,074","93,535"
362,"Redding city, California","93,393","93,462"
363,"Plantation city, Florida","91,969","92,986"
364,"Chino city, California","91,367","92,975"
365,"Hoover city, Alabama","92,687","92,589"
366,"Roswell city, Georgia","92,989","92,530"
367,"Mission Viejo city, California","93,528","92,449"
368,"Mount Pleasant town, South Carolina","90,871","92,398"
369,"Bellingham city, Washington","91,570","92,289"
370,"Fort Myers city, Florida","86,354","92,245"
371,"Kirkland city, Washington","92,755","92,107"
372,"Norwalk city, Connecticut","90,975","91,194"
373,"South Gate city, California","92,634","91,154"
374,"Nashua city, New Hampshire","91,221","91,124"
375,"Santa Monica city, California","92,711","91,105"
376,"Lawton city, Oklahoma","90,517","91,055"
377,"Avondale city, Arizona","89,670","90,564"
378,"Trenton city, New Jersey","90,662","90,457"
379,"Hemet city, California","89,830","90,436"
380,"Indio city, California","89,243","90,416"
381,"Westminster city, California","90,906","90,195"
382,"Fort Smith city, Arkansas","89,141","89,576"
383,"Clifton city, New Jersey","90,031","89,367"
384,"Merced city, California","86,515","89,308"
385,"Bloomington city, Minnesota","89,854","89,298"
386,"Champaign city, Illinois","88,418","89,114"
387,"San Leandro city, California","91,338","88,868"
388,"Greenville city, North Carolina","88,098","88,728"
389,"Waukegan city, Illinois","89,158","88,614"
390,"Lawrence city, Massachusetts","89,024","88,508"
391,"Santa Barbara city, California","88,695","88,255"
392,"Santa Fe city, New Mexico","87,684","88,193"
393,"Springdale city, Arkansas","87,390","87,609"
394,"Newton city, Massachusetts","88,624","87,453"
395,"Citrus Heights city, California","87,911","87,402"
